Accession,Title,Collection,Organism,Imaging Method,Keywords,Files,License,Publication Title,Publication DOI,Authors,Release Date,BIA Link
EMPIAR-13150,Cryo electron microscopy of amyloid fibrils of recombinant full-length 2N4R tau complexed with unfractionated mouse liver RNA and seeded by Alzheimer’s disease tau fibrils,EMPIAR,,,,0,,Structural evidence that RNA contributes to polymorphism of tau fibrils,,"Abskharon R, Jiang YX, Sawaya MR, Ge P, Zhang J, Boyer DR, Dolinsky JL, Pi J, Cascio D, Guo F, Eisenberg DS",2026-03-09,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13150
EMPIAR-13294,"Micrographs that led to the structure of Cofilin, CAP, and CP on F-actin",EMPIAR,,,,0,,"Disassembly at Actin Filament Ends by the Coordinated Activities of Cofilin, CAP, and CP",,"Palmer NJ, Boczkowska M, Rebowski G, Dominguez R",2026-03-09,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13294
EMPIAR-13337,Single-particle cryo-electron microscopy analysis of a viral hyaluronan synthase bound to a GlcA-extended GlcNAc primer and UDP,EMPIAR,,,,0,,Structural insights into translocation and tailored synthesis of hyaluronan,,"Górniak I, Stephens Z, Erramilli SK, Gawda T, Kossiakoff AA, Zimmer J",2026-03-09,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13337
EMPIAR-12204,Cryo-EM structure of the large serine recombinase Bxb1 in complex with attP and attB,EMPIAR,,,,0,,to be published,,Soma T,2026-03-09,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12204
EMPIAR-13203,100 kV apoferritin at 1.91 A with DECTRIS SINGLA detector on CRYO ARM 200 II,EMPIAR,,,,0,,Atomic resolution cryo-EM at 200 keV,,"Danev R, Yanagisawa H, Yamashita K, Eisenstein F, Kikkawa M",2026-03-09,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13203
S-BIAD2809,mnDINO: Accurate and robust segmentation of micronuclei with vision transformer networks,BioImage Archive,Homo sapiens (human),n/a,"Micronuclei, Micronuclei Segmentation, Microscopy, Fluorescent",1,CC0,Image-based identification and isolation of micronucleated cells to dissect cellular consequences.,10.7554/elife.101579,"DiPeso L, Pendyala S, Huang HZ, Fowler DM, Hatch EM.",2026-03-09,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2809
S-BIAD3040,International Mouse Phenotyping Consortium (IMPC) - Histopathology Images,BioImage Archive,,,,13250,CC BY 4.0,The International Mouse Phenotyping Consortium: comprehensive knockout phenotyping underpinning the study of human disease,10.1093/nar/gkac972,,2026-03-09,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD3040
S-BIAD3037,Anagrelide remodels the PDE3A–SLFN12 interactome to associate with translation initiation machinery in cancer cell lines		,BioImage Archive,Homo sapiens (human),confocal microscopy,"anagrelide, BioID, interactome, molecular glues, pde3a",2,CC BY 4.0,,,Sami Salmikangas,2026-03-09,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD3037
S-BIAD2505,Spatiotemporal dynamics of translation in Bacillus subtilis sporulation: a confocal microscopy dataset,BioImage Archive,Bacillus subtilis (NCBI Taxonomy ID: 1423),confocal microscopy,"Bacillus subtilis, sporulation, translation, ribosome, confocal microscopy",1608,CC BY 4.0,Translation in Bacillus subtilis is spatially and temporally coordinated during sporulation.,10.1038/s41467-024-51654-6,"Iwańska O, Latoch P, Kopik N, Kovalenko M, Lichocka M, Serwa R, Starosta AL.",2026-03-09,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2505
S-BIAD2934,Orphan nuclear receptors recruit TRIM28 to promote telomeric H3K9me3 for the ALT pathway,BioImage Archive,Homo sapiens (human),fluorescence microscopy,"Telomere, ALT, TRIM28, Orphan nuclear receptor, H3K9me3",90,CC0,,,Tsai Chia-Tsen,2026-03-09,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2934
S-BIAD2962,Spatial immune profiling characterizes tumor microenvironment heterogeneity between metastatic and non-metastatic cutaneous squamous cell carcinoma in organ transplant patients,BioImage Archive,Homo sapiens (human),imaging method,"tumor microenvironment, scc, cutaneous squamous cell carcinoma, tumor biology",43,CC0,,,Veerle Merkus,2026-03-09,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2962
EMPIAR-12700,Cryo-EM structure of spMETTL16 in complex with U6 snRNA and SAM,EMPIAR,,,,0,,Structures and mechanisms of U6 snRNA m&lt;sup&gt;6&lt;/sup&gt;A modification by METTL16,,"Ju J, Tomita K",2026-03-07,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12700
S-BIAD2733,Endocytosed lipids induce cell aggregation via filopodia retraction in a close relative of animals,BioImage Archive,Capsaspora owczaraki,bright-field microscopy,"Capsaspora, Endocytosis, Cellular aggregation, multicellularity",3,CC0,,,Ria Kidner,2026-03-07,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD2733
EMPIAR-12693,Cryo-EM structure of B. bacteriovorus MaeB holo form,EMPIAR,,,,0,,Divergent acetyl-CoA binding modes mediate allosteric inhibition of bacterial hybrid-type malic enzymes,,"Sassa M, Yamato H, Tanino H, Fukuda Y, Inoue T",2026-03-06,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12693
EMPIAR-12694,Cryo-EM structure of B. bacteriovorus MaeB acetyl-CoA bound form,EMPIAR,,,,0,,Divergent acetyl-CoA binding modes mediate allosteric inhibition of bacterial hybrid-type malic enzymes,,"Sassa M, Yamato H, Tanino H, Fukuda Y, Inoue T",2026-03-06,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-12694
