Accession,Title,Collection,Organism,Imaging Method,Keywords,Files,License,Publication Title,Publication DOI,Authors,Release Date,BIA Link
S-BIAD530,MATERNAL IMMUNE ACTIVATION UNSEALS THE BRAIN VESSELS IN THE OFFSPRING AND CAUSES INTRACEREBRAL HEMORRHAGES ,BioImage Archive,,,,71,,,,,2022-08-25,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD530
S-BSST889,"Towards phage therapy for acne vulgaris: Topical
application in a mouse model of Cutibacterium
acnes-induced acne-like lesions
",BioStudies,,,,1,,,,,2022-08-23,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BSST889
EMPIAR-11131,Single particle cryo-EM of the human CST•Polα/Primase (POLA1ΔN) complex in a recruitment state,EMPIAR,,,,0,,Cryo-EM structure of the human CST-Polα/primase complex in a recruitment state,,"Cai SW, Zinder JC, Svetlov V, Bush MW, Nudler E, Walz T, de Lange T",2022-08-19,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11131
EMPIAR-11130,Single particle cryo-EM of the human CST•Polα/Primase (POLA1 FL) complex in a recruitment state,EMPIAR,,,,0,,Cryo-EM structure of the human CST-Polα/primase complex in a recruitment state,,"Cai SW, Zinder JC, Svetlov V, Bush MW, Nudler E, Walz T, de Lange T",2022-08-19,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11130
EMPIAR-11139,Cryo-EM structure of the human GS-GN complex in the inhibited state,EMPIAR,,,,0,,Mechanism of glycogen synthase inactivation and interaction with glycogenin,,"Marr L, Biswas D, Daly LA, Browning C, Vial SCM, Maskell DP, Hudson C, Bertrand JA, Pollard J, Ranson NA, Khatter H, Eyers CE, Sakamoto K, Zeqiraj E",2022-08-16,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11139
EMPIAR-11137,"Single Particle CryoEM of inactive H2R in complex with Nb6M, NabFab, and anti-fab nanobody",EMPIAR,,,,0,,Structure Determination of Inactive-State GPCRs with a Universal Nanobody,,"Robertson MJ, Papasergi-Scott M, He F, Seven AB, Meyerowitz JG, Panova O, Peroto MC, Che T, Skiniotis G",2022-08-15,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11137
EMPIAR-11136,Single Particle CryoEM of inactive hNTSR1 bound to Nb6 and SR antagonist,EMPIAR,,,,0,,Structure Determination of Inactive-State GPCRs with a Universal Nanobody,,"Robertson MJ, Papasergi-Scott M, He F, Seven AB, Meyerowitz JG, Panova O, Peroto MC, Che T, Skiniotis G",2022-08-15,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11136
EMPIAR-11135,Single Particle CryoEM of inactive MOR bound to Mb6 and alvimopan,EMPIAR,,,,0,,Structure Determination of Inactive-State GPCRs with a Universal Nanobody,,"Robertson MJ, Papasergi-Scott M, He F, Seven AB, Meyerowitz JG, Panova O, Peroto MC, Che T, Skiniotis G",2022-08-15,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11135
EMPIAR-11134,Single Particle CryoEM of inactive SSTR2 bound to Nb6,EMPIAR,,,,0,,Structure Determination of Inactive-State GPCRs with a Universal Nanobody,,"Robertson MJ, Papasergi-Scott M, He F, Seven AB, Meyerowitz JG, Panova O, Peroto MC, Che T, Skiniotis G",2022-08-15,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11134
S-BIAD449,Imaging Files for the Manuscript: When Yeast Cells Change their Mind: Cell Cycle “Start” is Reversible under Starvation,BioImage Archive,,,"starvation, yeast, cell cycle, Start, Whi5",7200,,When Yeast Cells Change their Mind: Cell Cycle “Start” is Reversible under Starvation,,"Deniz Irvali, Fabian P. Schlottmann1, Prathibha Muralidhara, Iliya Nadelson, Katja Kleemann, N. Ezgi Wood, Andreas Doncic, and Jennifer C. Ewald",2022-08-15,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD449
EMPIAR-10880,Staphylococcal self-loading helicases couple the staircase mechanism with inter domain high flexibility,EMPIAR,,,,0,,Staphylococcal self-loading helicases couple the staircase mechanism with inter domain high flexibility,,"Qiao C, Debiasi-Anders G, Mir-Sanchis I",2022-08-12,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-10880
EMPIAR-11132,Cryo-EM structures of human V-ATPase,EMPIAR,,,,0,,Structures of a Complete Human V-ATPase Reveal Mechanisms of Its Assembly,,"Wang L, Wu D, Robinson CV, Wu H, Fu TM",2022-08-12,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11132
EMPIAR-11125,Cryo electron tomography of H. neapolitanus alpha-carboxysomes,EMPIAR,,,,0,,Rubisco forms a lattice inside alpha-carboxysomes,,"Metskas LA, Ortega D, Oltrogge LM, Blikstad C, Laughlin T, Savage DF, Jensen GJ",2022-08-12,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11125
EMPIAR-11078,In situ cryo-electron tomography of the C. reinhardtii ciliary transition zone,EMPIAR,,,,0,,In situ architecture of the ciliary base reveals the stepwise assembly of intraflagellar transport trains,,"van den Hoek H, Klena N, Jordan MA, Alvarez Viar G, Righetto RD, Schaffer M, Erdmann PS, Wan W, Geimer S, Plitzko JM, Baumeister W, Pigino G, Hamel V, Guichard P, Engel BD",2022-08-12,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11078
S-BIAD514,Supplementary Images for Manuscript - pMLKL DAB staining of AD cases with and without LATE-NC,BioImage Archive,,,"pMLKL, necroptosis, human hippocampus",4,,,,,2022-08-10,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD514
EMPIAR-11076,Single particle cryo-EM dataset of the Paranosema locustae ribosome bound to Lso2,EMPIAR,,,,0,,Differences in structure and hibernation mechanism highlight diversification of the microsporidian ribosome,,"Ehrenbolger K, Jespersen N, Sharma H, Sokolova YY, Tokarev YS, Vossbrinck CR, Barandun J",2022-08-09,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11076
S-BIAD515,RNAScope Data - Mapping the developing human immune system across organs,BioImage Archive,,,"Thymus, Spleen, Gut, RNAscope, Immune",7,,Mapping the developing human immune system across organs.,,"Suo C, Dann E, Goh I, Jardine L, Kleshchevnikov V, Park JE, Botting RA, Stephenson E, Engelbert J, Tuong ZK, Polanski K, Yayon N, Xu C, Suchanek O, Elmentaite R, Domínguez Conde C, He P, Pritchard S, Miah M, Moldovan C, Steemers AS, Mazin P, Prete M, Horsfall D, Marioni JC, Clatworthy MR, Haniffa M, Teichmann SA.",2022-08-09,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD515
EMPIAR-11043,Architecture of the human erythrocyte ankyrin-1 complex,EMPIAR,,,,0,,Architecture of the human erythrocyte ankyrin-1 complex,,"Vallese F, Kim K, Yen LY, Johnston JD, Noble AJ, Calì T, Clarke OB",2022-08-08,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11043
EMPIAR-11127,"Structure of a Vaccine-Induced, Germline-Encoded Human Antibody Defines a Neutralizing Epitope on the SARS-CoV-2 Spike N-Terminal Domain",EMPIAR,,,,0,,"Structure of a Vaccine-Induced, Germline-Encoded Human Antibody Defines a Neutralizing Epitope on the SARS-CoV-2 Spike N-Terminal Domain",,"Altomare CG, Adelsberg DC, Carreno JM, Sapse IA, Amanat F, Ellebedy AH, Simon V, Krammer F, Bajic G",2022-08-08,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11127
EMPIAR-11073,Cryo-EM structure of MrgD-Gi complex with beta-alanine,EMPIAR,,,,0,,Structural insight into the activation mechanism of MrgD with heterotrimeric Gi-protein revealed by cryo-EM,,"Suzuki S, Iida M, Hiroaki Y, Tanaka K, Kawamoto A, Kato T, Oshima A",2022-08-08,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11073
S-BIAD513,"Quantitative, Spatially Defined Expression of Leukocyte Associated Immunoglobulin-like Receptor (LAIR-1) in Non-Small Cell Lung Cancer",BioImage Archive,,,"quantitative immunofluorescence, immunotherapy, NSCLC, immunohistochemistry (IHC), PD-1, PD-L1, LAIR-1, LAIR-2",1094,,"LAIR-1, a novel inhibitory receptor expressed on human mononuclear leukocytes.",,"Meyaard L, Adema GJ, Chang C, Woollatt E, Sutherland GR, Lanier LL, Phillips JH.",2022-08-01,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD513
S-BIAD511,Image-based deep learning reveals the responses of human motor neurons to stress and VCP-related ALS - raw image data,BioImage Archive,,,,268133,CC BY 4.0,,,,2022-07-29,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD511
S-BIAD510,"ske-T, a T-box gene expressed in the skeletogenic mesenchyme lineage of the sea urchin embryo - raw image data",BioImage Archive,,,,21,CC BY 4.0,,,,2022-07-29,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD510
EMPIAR-11045,Cryo-EM structure of the GOLD-domain seven-transmembrane protein TMEM87A,EMPIAR,,,,0,,Cryo-EM structure of the GOLD-domain seven-transmembrane protein TMEM87A,,"Hoel CM, Zhang L, Brohawn SG",2022-07-29,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11045
S-BIAD509,Immune surveillance in clinical regression of pre-invasive squamous cell lung cancer - raw image data,BioImage Archive,,,,234,CC BY 4.0,,,,2022-07-28,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD509
S-BIAD493,A Multi-Spectral Myelin Annotation Tool for Machine Learning Based Myelin Quantification,BioImage Archive,,,,23,CC BY 4.0,,,,2022-07-28,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD493
S-BIAD500,Multi-fluorescence high-resolution episcopic microscopy (MF-HREM) for three dimensional imaging of adult murine organs,BioImage Archive,,,,12,CC BY 4.0,,,,2022-07-27,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD500
EMPIAR-11124,Cryo-EM structure of DgpB-C at 2.85 angstrom resolution,EMPIAR,,,,0,,"C-Glycoside metabolism in the gut and in nature: Identification, characterization, structural analyses and distribution of C-C bond-cleaving enzymes",,"Mori T, Kumano T, He H, Watanabe S, Senda M, Moriya T, Adachi N, Hori S, Terashita Y, Kawasaki M, Hashimoto Y, Awakawa T, Senda T, Abe I, Kobayashi M",2022-07-27,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11124
EMPIAR-11093,Micrographs of IAPP (amylin) amyloid fibrils,EMPIAR,,,,0,,Cryo-EM structure of islet amyloid polypeptide fibrils reveals similarities with amyloid-β fibrils,,"Röder C, Kupreichyk T, Gremer L, Schäfer LU, Pothula KR, Ravelli RBG, Willbold D, Hoyer W, Schröder GF",2022-07-27,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11093
EMPIAR-11101,Apoferritin structure at 1.46 angstrom resolution by CryoARM300II equipped with Apollo,EMPIAR,,,,0,,Apoferritin structure at 1.46 angstrom resolution by CryoARM300II equipped with Apollo,,"Bammes B, Spilman M, Sakamoto M, Fukumura T, Konyuba Y, Okunishi E",2022-07-27,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11101
EMPIAR-11095,"PMCA-amplified α-synuclein fibrils, Multiple System Atrophy patient-derived seeds",EMPIAR,,,,0,,Quaternary structure of patient-homogenate amplified α-synuclein fibrils modulates seeding of endogenous α-synuclein,,"Frieg B, Geraets JA, Strohäker T, Dienemann C, Mavroeidi P, Jung BC, Kim WS, Lee SJ, Xilouri M, Zweckstetter M, Schröder GF",2022-07-27,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11095
EMPIAR-11094,"PMCA-amplified α-synuclein fibrils, Parkinson's Disease patient-derived seeds",EMPIAR,,,,0,,Quaternary structure of patient-homogenate amplified α-synuclein fibrils modulates seeding of endogenous α-synuclein,,"Frieg B, Geraets JA, Strohäker T, Dienemann C, Mavroeidi P, Jung BC, Kim WS, Lee SJ, Xilouri M, Zweckstetter M, Schröder GF",2022-07-27,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11094
EMPIAR-11074,Cryo-EM structure of apo-state MrgD-Gi complex,EMPIAR,,,,0,,Structural insight into the activation mechanism of MrgD with heterotrimeric Gi-protein revealed by cryo-EM,,"Suzuki S, Iida M, Hiroaki Y, Tanaka K, Kawamoto A, Kato T, Oshima A",2022-07-27,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11074
EMPIAR-11036,CryoEM structure of Go-coupled 5-HT5AR in complex with Lisuride,EMPIAR,,,,0,,Inactive and active state structures template selective tools for the human 5-HT<sub>5A</sub> receptor,,"Zhang S, Chen H, Zhang C, Yang Y, Popov P, Liu J, Krumm BE, Cao C, Kim K, Xiong Y, Katritch V, Shoichet BK, Jin J, Fay JF, Roth BL",2022-07-27,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11036
EMPIAR-11033,cryoEM structure of Go-coupled 5-HT5A with agonist 5-CT,EMPIAR,,,,0,,Inactive and active state structures template selective tools for the human 5-HT<sub>5A</sub> receptor,,"Zhang S, Chen H, Zhang C, Yang Y, Popov P, Liu J, Krumm BE, Cao C, Kim K, Xiong Y, Katritch V, Shoichet BK, Jin J, Fay JF, Roth BL",2022-07-27,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11033
EMPIAR-10992,Infectious mouse-adapted RML scrapie prion fibrils purified from terminally-infected mouse brains,EMPIAR,,,,0,,2.7 Å cryo-EM structure of ex vivo RML prion fibrils,,"Manka SW, Zhang W, Wenborn A, Betts J, Joiner S, Saibil HR, Collinge J, Wadsworth JDF",2022-07-27,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-10992
EMPIAR-11092,Micrographs of PI3-kinase SH3 amyloid fibrils,EMPIAR,,,,0,,Atomic structure of PI3-kinase SH3 amyloid fibrils by cryo-electron microscopy,,"Röder C, Vettore N, Mangels LN, Gremer L, Ravelli RBG, Willbold D, Hoyer W, Buell AK, Schröder GF",2022-07-26,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11092
EMPIAR-10786,Cryo electron microscopy final particle stacks of Substance P-Neurokinin Receptor G protein complexes,EMPIAR,,,,0,,Selective G protein signaling driven by substance P-neurokinin receptor dynamics,,"Harris JA, Faust B, Gondin AB, Dämgen MA, Suomivuori CM, Veldhuis NA, Cheng Y, Dror RO, Thal DM, Manglik A",2022-07-26,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-10786
EMPIAR-11081,Human Kv1.3 with a Fab-ShK fusion,EMPIAR,,,,0,,Structures of the T cell potassium channel Kv1.3 with immunoglobulin modulators,,"Selvakumar P, Fernández-Mariño AI, Khanra N, He C, Paquette AJ, Wang B, Huang R, Smider VV, Rice WJ, Swartz KJ, Meyerson JR",2022-07-26,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11081
EMPIAR-11080,Human Kv1.3 with A0194009G09 nanobodies,EMPIAR,,,,0,,Structures of the T cell potassium channel Kv1.3 with immunoglobulin modulators,,"Selvakumar P, Fernández-Mariño AI, Khanra N, He C, Paquette AJ, Wang B, Huang R, Smider VV, Rice WJ, Swartz KJ, Meyerson JR",2022-07-26,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11080
EMPIAR-10863,Cryo-EM of recombinant Goslar chimallin,EMPIAR,,,,0,,Architecture and self-assembly of the jumbo bacteriophage nuclear shell,,"Laughlin TG, Deep A, Prichard AM, Seitz C, Gu Y, Enustun E, Suslov S, Khanna K, Birkholz EA, Armbruster E, McCammon JA, Amaro RE, Pogliano J, Corbett KD, Villa E",2022-07-26,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-10863
EMPIAR-10862,Cryo-EM of recombinant 201phi2-1 chimallin,EMPIAR,,,,0,,Architecture and self-assembly of the jumbo bacteriophage nuclear shell,,"Laughlin TG, Deep A, Prichard AM, Seitz C, Gu Y, Enustun E, Suslov S, Khanna K, Birkholz EA, Armbruster E, McCammon JA, Amaro RE, Pogliano J, Corbett KD, Villa E",2022-07-26,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-10862
EMPIAR-10860,In situ cryo-electron tomography of E. coli APEC 2248 infected by Goslar,EMPIAR,,,,0,,Architecture and self-assembly of the jumbo bacteriophage nuclear shell,,"Laughlin TG, Deep A, Prichard AM, Seitz C, Gu Y, Enustun E, Suslov S, Khanna K, Birkholz EA, Armbruster E, McCammon JA, Amaro RE, Pogliano J, Corbett KD, Villa E",2022-07-26,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-10860
EMPIAR-10859,In situ cryo-electron tomography of P. chlororaphis infected by 201phi2-1,EMPIAR,,,,0,,Architecture and self-assembly of the jumbo bacteriophage nuclear shell,,"Laughlin TG, Deep A, Prichard AM, Seitz C, Gu Y, Enustun E, Suslov S, Khanna K, Birkholz EA, Armbruster E, McCammon JA, Amaro RE, Pogliano J, Corbett KD, Villa E",2022-07-26,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-10859
EMPIAR-10826,Cryo electron images of mitochondrial Hsp60,EMPIAR,,,,0,,Visualization of Sparsely-populated Lower-order Oligomeric States of Human Mitochondrial Hsp60 by Cryo-electron Microscopy,,"Wälti MA, Canagarajah B, Schwieters CD, Clore GM",2022-07-26,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-10826
EMPIAR-11062,Structure of the human RAD17-RFC clamp loader and 9-1-1 checkpoint clamp bound to a dsDNA-ssDNA junction,EMPIAR,,,,0,,Structure of the human RAD17-RFC clamp loader and 9-1-1 checkpoint clamp bound to a dsDNA-ssDNA junction,,"Day M, Oliver AW, Pearl LH",2022-07-22,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11062
EMPIAR-10999,Structural conservation among variants of the SARS-CoV-2 spike postfusion bundle,EMPIAR,,,,0,,Structural conservation among variants of the SARS-CoV-2 spike postfusion bundle,,"Yang K, Wang C, White KI, Pfuetzner RA, Esquivies L, Brunger AT",2022-07-22,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-10999
S-BSST878,"A quadruple transgenic reprogrammable mouse model containing SLC34a1-Cre, dTomato, rtTA, and OKMS is used to determine epigenetic memory in kidney proximal tubule cell derived induced Pluripotent Stem Cells.",BioStudies,,,,1,,,,,2022-07-20,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BSST878
S-BIAD492,Microscopy data for 'The CIP2A-TOPBP1 complex safeguards chromosomal stability during mitosis',BioImage Archive,,,,34,,The CIP2A-TOPBP1 complex safeguards chromosomal stability during mitosis.,,"De Marco Zompit M, Esteban MT, Mooser C, Adam S, Rossi SE, Jeanrenaud A, Leimbacher PA, Fink D, Shorrocks AK, Blackford AN, Durocher D, Stucki M.",2022-07-20,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD492
EMPIAR-11109,"CryoEM single particle dataset for psNb 2-10, 2-67 and 2-62 with spike protein",EMPIAR,,,,0,,Superimmunity by pan-sarbecovirus nanobodies,,"Xiang Y, Huang W, Liu H, Sang Z, Nambulli S, Tubiana J, Williams KL, Duprex WP, Schneidman-Duhovny D, Wilson IA, Taylor DJ, Shi Y",2022-07-18,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11109
EMPIAR-11105,CryoEM single particle dataset for psNb 1-22 with spike protein,EMPIAR,,,,0,,Superimmunity by pan-sarbecovirus nanobodies,,"Xiang Y, Huang W, Liu H, Sang Z, Nambulli S, Tubiana J, Williams KL, Duprex WP, Schneidman-Duhovny D, Wilson IA, Taylor DJ, Shi Y",2022-07-18,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11105
EMPIAR-11102,CryoEM single particle dataset for psNb 1-8 with spike protein,EMPIAR,,,,0,,Superimmunity by pan-sarbecovirus nanobodies,,"Xiang Y, Huang W, Liu H, Sang Z, Nambulli S, Tubiana J, Williams KL, Duprex WP, Schneidman-Duhovny D, Wilson IA, Taylor DJ, Shi Y",2022-07-18,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11102
EMPIAR-11099,Structure of the Dicer-2-R2D2 heterodimer bound to a small RNA duplex,EMPIAR,,,,0,,Structure of the Dicer-2-R2D2 heterodimer bound to a small RNA duplex,,"Yamaguchi S, Naganuma M, Nishizawa T, Kusakizako T, Tomari Y, Nishimasu H, Nureki O",2022-07-18,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11099
EMPIAR-11096,CryoEM single particle dataset for psNb 2-67 with spike protein,EMPIAR,,,,0,,Superimmunity by pan-sarbecovirus nanobodies,,"Xiang Y, Huang W, Liu H, Sang Z, Nambulli S, Tubiana J, Williams KL, Duprex WP, Schneidman-Duhovny D, Wilson IA, Taylor DJ, Shi Y",2022-07-18,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11096
EMPIAR-11091,Thylakoid-located voltage-dependent chloride channel VCCN1,EMPIAR,,,,0,,Cryo-EM structures of thylakoid-located voltage-dependent chloride channel VCCN1,,"Hagino T, Kato T, Kasuya G, Kobayashi K, Kusakizako T, Hamamoto S, Sobajima T, Fujiwara Y, Yamashita K, Kawasaki H, Maturana AD, Nishizawa T, Nureki O",2022-07-18,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11091
EMPIAR-11067,Structure of SARS-CoV-2 M protein in lipid nanodiscs,EMPIAR,,,,0,,Structure of SARS-CoV-2 M protein in lipid nanodiscs,,"Dolan KA, Dutta M, Kern DM, Kotecha A, Voth GA, Brohawn SG",2022-07-18,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11067
EMPIAR-10980,Cryo-EM structures of monomeric and dimeric human somatic angiotensin I-converting enzyme (apo form),EMPIAR,,,,0,,Cryo-EM reveals mechanisms of angiotensin I-converting enzyme allostery and dimerization,,"Lubbe L, Sewell BT, Woodward JD, Sturrock ED",2022-07-18,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-10980
EMPIAR-10945,Staphylococcal self-loading helicases couple the staircase mechanism 1 with inter domain high flexibility,EMPIAR,,,,0,,Staphylococcal self-loading helicases couple the staircase mechanism with inter domain high flexibility,,"Qiao C, Debiasi-Anders G, Mir-Sanchis I",2022-07-18,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-10945
EMPIAR-10881,Staphylococcal self-loading helicases couple the staircase mechanism with inter domain high flexibility,EMPIAR,,,,0,,Staphylococcal self-loading helicases couple the staircase mechanism with inter domain high flexibility,,"Qiao QCC, Debiasi-Anders G, Mir-Sanchis I",2022-07-18,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-10881
S-BIAD508,The localisation between mitochondrial DNA and mitochondria or NLRP3/AIM2 upon inflammatory stresses and PHB1 deficiency in immune cells or non-immune cells under confocal microscope,BioImage Archive,,,"mitochondrial DNA, NLRP3, AIM2, inflammation",12,,,,,2022-07-18,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD508
EMPIAR-11108,CryoEM single particle dataset for psNb 2-45 with spike protein,EMPIAR,,,,0,,Superimmunity by pan-sarbecovirus nanobodies,,"Xiang Y, Huang W, Liu H, Sang Z, Nambulli S, Tubiana J, Williams KL, Duprex WP, Schneidman-Duhovny D, Wilson IA, Taylor DJ, Shi Y",2022-07-15,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11108
EMPIAR-11107,CryoEM single particle dataset for psNb 2-65 with spike protein,EMPIAR,,,,0,,Superimmunity by pan-sarbecovirus nanobodies,,"Xiang Y, Huang W, Liu H, Sang Z, Nambulli S, Tubiana J, Williams KL, Duprex WP, Schneidman-Duhovny D, Wilson IA, Taylor DJ, Shi Y",2022-07-15,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11107
EMPIAR-11106,CryoEM single particle dataset for psNb 1-23 with spike protein,EMPIAR,,,,0,,Superimmunity by pan-sarbecovirus nanobodies,,"Xiang Y, Huang W, Liu H, Sang Z, Nambulli S, Tubiana J, Williams KL, Duprex WP, Schneidman-Duhovny D, Wilson IA, Taylor DJ, Shi Y",2022-07-15,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11106
EMPIAR-11019,Single particle cryo-EM dataset of cowpea chlorotic mottle virus in laser-melted and revitrified ice,EMPIAR,,,,0,,Microsecond melting and revitrification of cryo samples: protein structure and beam-induced motion,,"Harder OF, Voss JM, Olshin PK, Drabbels M, Lorenz UJ",2022-07-15,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11019
EMPIAR-11018,Single particle cryo-EM dataset of cowpea chlorotic mottle virus in plunge-frozen vitrified ice,EMPIAR,,,,0,,Microsecond melting and revitrification of cryo samples: protein structure and beam-induced motion,,"Harder OF, Voss JM, Olshin PK, Drabbels M, Lorenz UJ",2022-07-15,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11018
EMPIAR-11017,Single particle cryo-EM dataset of mouse heavy chain apoferritin in laser-melted and revitrified ice,EMPIAR,,,,0,,Microsecond melting and revitrification of cryo samples: protein structure and beam-induced motion,,"Harder OF, Voss JM, Olshin PK, Drabbels M, Lorenz UJ",2022-07-15,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11017
EMPIAR-11016,Single particle cryo-EM dataset of mouse heavy chain apoferritin in plunge-frozen vitrified ice,EMPIAR,,,,0,,Microsecond melting and revitrification of cryo samples: protein structure and beam-induced motion,,"Harder OF, Voss JM, Olshin PK, Drabbels M, Lorenz UJ",2022-07-15,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11016
S-BIAD504,Super-resolution Microscopy of the Synaptonemal Complex Within the Caenorhabditis elegans Germline,BioImage Archive,,,"C. elegans, meiosis, synaptonemal complex, immunohistochemistry, super-resolution microscopy, single molecule localization microscopy, stimulated emission depletion microscopy",26,,,,,2022-07-14,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD504
EMPIAR-11079,Non-conventional octameric structure of C-phycocyanin,EMPIAR,,,,0,,Non-conventional octameric structure of C-phycocyanin,,"Minato T, Teramoto T, Adachi N, Hung NK, Yamada K, Kawasaki M, Akutsu M, Moriya T, Senda T, Ogo S, Kakuta Y, Yoon KS",2022-07-12,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11079
EMPIAR-11068,Single particle Data of the activated B. subtilis ClpC arranged as a tetramer of hexamers,EMPIAR,,,,0,,BacPROTACs mediate targeted protein degradation in bacteria,,"Morreale FE, Kleine S, Leodolter J, Junker S, Hoi DM, Ovchinnikov S, Okun A, Kley J, Kurzbauer R, Junk L, Guha S, Podlesainski D, Kazmaier U, Boehmelt G, Weinstabl H, Rumpel K, Schmiedel VM, Hartl M, Haselbach D, Meinhart A, Kaiser M, Clausen T",2022-07-12,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11068
EMPIAR-10915,CryoEM data of PLA2R at pH 6.2 with both 0 and 30 degree tilts.,EMPIAR,,,,0,,Structure of PLA2R reveals presentation of the dominant membranous nephropathy epitope and an immunogenic patch,,"Fresquet M, Lockhart-Cairns MP, Rhoden SJ, Jowitt TA, Briggs DC, Baldock C, Brenchley PE, Lennon R",2022-07-12,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-10915
EMPIAR-11100,CryoEM single particle dataset for psNb 2-57 with spike protein,EMPIAR,,,,0,,Superimmunity by pan-sarbecovirus nanobodies,,"Xiang Y, Huang W, Liu H, Sang Z, Nambulli S, Tubiana J, Williams KL, Duprex WP, Schneidman-Duhovny D, Wilson IA, Taylor DJ, Shi Y",2022-07-12,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-11100
